[2025-04-05_00:54:29] Total Functions: 774, Hited Functions: 247 [ 31.912145% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_00:55:30] Total Functions: 1040, Hited Functions: 568 [ 54.615385% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_00:56:31] Total Functions: 1054, Hited Functions: 582 [ 55.218216% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_00:57:32] Total Functions: 1137, Hited Functions: 668 [ 58.751099% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_00:58:33] Total Functions: 1153, Hited Functions: 684 [ 59.323504% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_00:59:34] Total Functions: 1170, Hited Functions: 701 [ 59.914530% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:00:35] Total Functions: 1176, Hited Functions: 707 [ 60.119048% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:01:36] Total Functions: 1178, Hited Functions: 709 [ 60.186757% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:02:37] Total Functions: 1180, Hited Functions: 711 [ 60.254237% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:03:38] Total Functions: 1202, Hited Functions: 735 [ 61.148087% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:04:39] Total Functions: 1205, Hited Functions: 739 [ 61.327801% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:05:40] Total Functions: 1205, Hited Functions: 739 [ 61.327801% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:06:41] Total Functions: 1211, Hited Functions: 745 [ 61.519405% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:07:42] Total Functions: 1211, Hited Functions: 745 [ 61.519405% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:08:43] Total Functions: 1214, Hited Functions: 748 [ 61.614498% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:09:44] Total Functions: 1216, Hited Functions: 750 [ 61.677632% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:10:45] Total Functions: 1217, Hited Functions: 751 [ 61.709121% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:11:46] Total Functions: 1218, Hited Functions: 752 [ 61.740558% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:12:47] Total Functions: 1219, Hited Functions: 753 [ 61.771944% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:13:48] Total Functions: 1222, Hited Functions: 756 [ 61.865794% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:14:49] Total Functions: 1223, Hited Functions: 757 [ 61.896975% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:15:50] Total Functions: 1224, Hited Functions: 758 [ 61.928105% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:16:51] Total Functions: 1231, Hited Functions: 765 [ 62.144598% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:17:52] Total Functions: 1235, Hited Functions: 769 [ 62.267206% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:18:53] Total Functions: 1237, Hited Functions: 771 [ 62.328213% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:19:54] Total Functions: 1241, Hited Functions: 775 [ 62.449637% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:20:55] Total Functions: 1242, Hited Functions: 776 [ 62.479871% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:21:56] Total Functions: 1243, Hited Functions: 777 [ 62.510056% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:22:57] Total Functions: 1244, Hited Functions: 778 [ 62.540193% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:23:58] Total Functions: 1244, Hited Functions: 778 [ 62.540193% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:24:59] Total Functions: 1244, Hited Functions: 778 [ 62.540193% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:26:00] Total Functions: 1245, Hited Functions: 779 [ 62.570281% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:27:01] Total Functions: 1245, Hited Functions: 779 [ 62.570281% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:28:02] Total Functions: 1245, Hited Functions: 779 [ 62.570281% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:29:03] Total Functions: 1245, Hited Functions: 779 [ 62.570281% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:30:04] Total Functions: 1245, Hited Functions: 779 [ 62.570281% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:31:05] Total Functions: 1245, Hited Functions: 779 [ 62.570281% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:32:06] Total Functions: 1249, Hited Functions: 783 [ 62.690152% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:33:07] Total Functions: 1253, Hited Functions: 787 [ 62.809258% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:34:08] Total Functions: 1256, Hited Functions: 790 [ 62.898089% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:35:09] Total Functions: 1261, Hited Functions: 795 [ 63.045202% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:36:10] Total Functions: 1262, Hited Functions: 796 [ 63.074485% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:37:11] Total Functions: 1262, Hited Functions: 796 [ 63.074485% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:38:12] Total Functions: 1264, Hited Functions: 798 [ 63.132911% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:39:13] Total Functions: 1268, Hited Functions: 802 [ 63.249211% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:40:14] Total Functions: 1269, Hited Functions: 803 [ 63.278172% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:41:15] Total Functions: 1269, Hited Functions: 803 [ 63.278172% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:42:16] Total Functions: 1269, Hited Functions: 803 [ 63.278172% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:43:17] Total Functions: 1270, Hited Functions: 804 [ 63.307087% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:44:18] Total Functions: 1271, Hited Functions: 805 [ 63.335956% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:45:19] Total Functions: 1271, Hited Functions: 805 [ 63.335956% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:46:20] Total Functions: 1272, Hited Functions: 806 [ 63.364780% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:47:21] Total Functions: 1272, Hited Functions: 806 [ 63.364780% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:48:22] Total Functions: 1272, Hited Functions: 806 [ 63.364780% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:49:23] Total Functions: 1272, Hited Functions: 806 [ 63.364780% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:50:24] Total Functions: 1272, Hited Functions: 806 [ 63.364780% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:51:25] Total Functions: 1273, Hited Functions: 807 [ 63.393559% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:52:26] Total Functions: 1273, Hited Functions: 807 [ 63.393559% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:53:27] Total Functions: 1273, Hited Functions: 807 [ 63.393559% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:54:28] Total Functions: 1273, Hited Functions: 807 [ 63.393559% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:55:29] Total Functions: 1273, Hited Functions: 807 [ 63.393559% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:56:30] Total Functions: 1273, Hited Functions: 807 [ 63.393559% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:57:31] Total Functions: 1273, Hited Functions: 807 [ 63.393559% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:58:32] Total Functions: 1273, Hited Functions: 807 [ 63.393559% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_01:59:33] Total Functions: 1273, Hited Functions: 807 [ 63.393559% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:00:34] Total Functions: 1273, Hited Functions: 808 [ 63.472113% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:01:35] Total Functions: 1274, Hited Functions: 809 [ 63.500785% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:02:36] Total Functions: 1274, Hited Functions: 809 [ 63.500785% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:03:37] Total Functions: 1274, Hited Functions: 809 [ 63.500785% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:04:38] Total Functions: 1274, Hited Functions: 809 [ 63.500785% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:05:39] Total Functions: 1274, Hited Functions: 809 [ 63.500785% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:06:40] Total Functions: 1276, Hited Functions: 811 [ 63.557994% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:07:41] Total Functions: 1276, Hited Functions: 811 [ 63.557994% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:08:42] Total Functions: 1276, Hited Functions: 811 [ 63.557994% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:09:43] Total Functions: 1276, Hited Functions: 811 [ 63.557994% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:10:44] Total Functions: 1276, Hited Functions: 811 [ 63.557994% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:11:45] Total Functions: 1276, Hited Functions: 811 [ 63.557994% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:12:46] Total Functions: 1276, Hited Functions: 811 [ 63.557994% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:13:47] Total Functions: 1276, Hited Functions: 811 [ 63.557994% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:14:48] Total Functions: 1276, Hited Functions: 811 [ 63.557994% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:15:49] Total Functions: 1276, Hited Functions: 811 [ 63.557994% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:16:50] Total Functions: 1276, Hited Functions: 811 [ 63.557994% ], Hited Edges: 0, Total Edges: 2056
[2025-04-05_02:17:51] Total Functions: 1276, Hited Functions: 811 [ 63.557994% ], Hited Edges: 0, Total Edges: 2056
