[2025-04-05_00:54:30] Total Functions: 2747, Hited Functions: 107 [ 3.895158% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_00:55:31] Total Functions: 2747, Hited Functions: 189 [ 6.880233% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_00:56:32] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_00:57:33] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_00:58:34] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_00:59:35] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:00:36] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:01:37] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:02:38] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:03:39] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:04:40] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:05:41] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:06:42] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:07:43] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:08:44] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:09:45] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:10:46] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:11:47] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:12:48] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:13:49] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:14:50] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:15:51] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:16:52] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:17:53] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:18:54] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:19:55] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:20:56] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:21:57] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:22:58] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:23:59] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:25:00] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:26:01] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:27:02] Total Functions: 2747, Hited Functions: 190 [ 6.916636% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:28:03] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:29:04] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:30:05] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:31:06] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:32:07] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:33:08] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:34:09] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:35:10] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:36:11] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:37:12] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:38:13] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:39:14] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:40:15] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:41:16] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:42:17] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:43:18] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:44:19] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:45:20] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:46:21] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:47:22] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:48:23] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:49:24] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:50:25] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:51:26] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:52:27] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:53:28] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:54:29] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:55:30] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:56:31] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:57:32] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:58:33] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_01:59:34] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:00:35] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:01:36] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:02:37] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:03:38] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:04:39] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:05:40] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:06:41] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:07:42] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:08:43] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:09:44] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:10:45] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:11:46] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:12:47] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:13:48] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:14:49] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:15:50] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:16:51] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:17:52] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:18:53] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:19:54] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:20:55] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:21:56] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:22:57] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:23:58] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:24:59] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:26:00] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:27:01] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:28:02] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:29:03] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:30:04] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:31:05] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:32:06] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:33:07] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:34:08] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:35:09] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:36:10] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:37:11] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:38:12] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:39:13] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:40:14] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:41:15] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:42:16] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:43:17] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:44:18] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:45:19] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:46:20] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:47:21] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:48:22] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:53:20] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:54:21] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:55:22] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:56:23] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:57:24] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:58:25] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_02:59:26] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
[2025-04-05_03:00:27] Total Functions: 2747, Hited Functions: 193 [ 7.025846% ], Hited Edges: 0, Total Edges: 7149
